State, Facility Name, Facility ID (ORISPL), Year, Gross Load (MW-h), CO2 (short tons), Heat Input (MMBtu), Facility Latitude, Facility Longitude,CO2 (Mt)
OH,ArcelorMittal Warren,54207,2020,,,1272625.485,41.2119,-80.8176,0
OH,Avon Lake Power Plant,2836,2020,272648.13,260085.369,2536566.807,41.5042,-82.05,0.235945545
OH,BP Husky Refining LLC,880030,2020,,,1283233.579,41.6786,-83.4539,0
OH,Bay Shore,2878,2020,,1607242.218,15241717.19,41.6925,-83.4375,1.458066032
OH,Cardinal,2828,2020,9756754.47,10088892.15,98432593.13,40.2522,-80.6486,9.152491626
OH,Cargill Incorporated,880039,2020,,,1194885.375,39.8242,-84.1747,0
OH,Carroll County Energy,59773,2020,5406645.53,2303006.523,38752843.81,40.6048,-81.0592,2.089252973
OH,"Clean Energy Future - Lordstown, LLC",60376,2020,6309171.17,2469104.682,41547270.53,41.1489,-80.8516,2.239934731
OH,Conesville,2840,2020,1176305.31,1213470.392,11834871.11,40.1842,-81.8811,1.100842138
OH,Darby Electric Generating Station,55247,2020,398171.91,281152.9,4756106,39.7139,-83.1778,0.255057694
OH,Dresden Energy Facility,55350,2020,4727250.81,1788430.618,30093747.37,40.0935,-82.0267,1.62243743
OH,"Dynegy Dicks Creek, LLC",2831,2020,2655.56,,165844.8,39.465,-84.3775,0
OH,"Dynegy Hanging Rock II, LLC",55736,2020,10203105.23,4187432.042,70461678.14,38.5731,-82.7833,3.798775537
OH,"Dynegy Washington II, LLC",55397,2020,5113297.7,2159466.981,36337256.8,39.5798,-81.6571,1.959036053
OH,Eastlake,2837,2020,,,,41.6713,-81.4432,0
OH,Frank M Tait Station,2847,2020,257283.53,194781.3,3301464.8,39.7281,-84.2103,0.176702674
OH,Fremont Energy Center,55701,2020,3552587.3,1490052.956,25072740.03,41.3781,-83.1647,1.351753691
OH,Gen J M Gavin,8102,2020,14344290.04,15074332.08,146937430.3,38.9347,-82.1158,13.67520795
OH,Greenville Electric Gen Station,55228,2020,96597.65,59385,1006238.3,40.0747,-84.6147,0.053873181
OH,Hamilton Municipal Power Plant,2917,2020,,,,39.4099,-84.5544,0
OH,Kyger Creek,2876,2020,5268150.32,5287990.864,51540009.54,38.9161,-82.1281,4.797185992
OH,Lima Refinery,880083,2020,,,479714.5,40.7234,-84.1133,0
OH,Madison Generating Station,55110,2020,322168.07,241521.752,4064198.31,39.4522,-84.465,0.219104911
OH,Miami Fort Power Station,2832,2020,7309822.28,6988482.331,68113794.29,39.1131,-84.8031,6.339846343
OH,Middletown Energy Center,59326,2020,3469465.72,1328461.759,22353960.72,39.4679,-84.3531,1.205160581
OH,Niles,2861,2020,256.66,,5438.8,41.1667,-80.75,0
OH,O H Hutchings,2848,2020,25,,558,39.6094,-84.2931,0
OH,Omega JV2 Bowling Green,7783,2020,2304.61,1616.3,27400.7,41.3883,-83.6406,0.001466283
OH,Omega JV2 Hamilton,7782,2020,2706.75,2094.3,35517.4,39.3528,-84.5183,0.001899918
OH,Oregon Clean Energy Center,59764,2020,5810365.31,2262502.392,38070986.59,41.6679,-83.4437,2.052508232
OH,Pixelle Specialty Solutions LLC,10244,2020,,,1745652.745,39.3265,-82.9744,0
OH,Pratt Paper (OH),880109,2020,,,1220205.6,40.5426,-84.1916,0
OH,Richland Peaking Station,2880,2020,247790.19,186960.261,3145988.715,41.3033,-84.3386,0.169607544
OH,Robert P Mone,7872,2020,176634.75,109421.4,1834021.1,40.9297,-84.7392,0.099265453
OH,Rolling Hills Generating LLC,55401,2020,267455.4,178402.29,3002013.44,39.0839,-82.3328,0.161843881
OH,Tait Electric Generating Station,55248,2020,700265.07,508905.3,8625981.6,39.7286,-84.2106,0.461671255
OH,The Ohio State University,50044,2020,,,2372.5,40.0008,-83.0158,0
OH,"Troy Energy, LLC",55348,2020,907452.27,571792.094,9615268.879,41.4774,-83.4616,0.518721211
OH,W H Sammis,2866,2020,5474888.4,5650061.447,53871683.46,40.5308,-80.6311,5.125650994
OH,W H Zimmer Generating Station,6019,2020,6075632.67,5591345.667,54657422.84,38.8689,-84.2286,5.072384919
OH,Waterford Plant,55503,2020,6799224.65,2757610.524,46402092.65,39.5314,-81.7172,2.501662903
OH,West Lorain,2869,2020,71123.83,51151.294,888018.975,41.4297,-82.2633,0.046403687
OH,Woodsdale,7158,2020,63541.17,60088.703,1009049.666,39.4492,-84.4611,0.05451157
OK,Anadarko,3006,2020,550693.61,175547.163,5410401.36,35.0847,-98.23,0.159253753
OK,Charles D Lamb Energy Center,58325,2020,114331.62,83307.952,1401776.227,36.8138,-97.1252,0.075575724
OK,Chouteau Power Plant,7757,2020,6276737.59,2583233.637,43467959.59,36.2206,-95.2756,2.343470807
OK,Comanche (8059),8059,2020,147007.32,136442.054,2295895.651,34.5431,-98.3244,0.123778185
OK,Frontier Generating Station,50558,2020,222608.62,90563.621,1829087.25,35.442,-97.6477,0.082157959
OK,Grand River Dam Authority,165,2020,2612871.47,1099988.09,17736827.73,36.1906,-95.2889,0.997892695
OK,"Green Country Energy, LLC",55146,2020,4313730.37,1838053.253,30928885.45,35.9833,-95.9346,1.66745434
OK,Horseshoe Lake,2951,2020,1088355.78,708294.052,11918441.24,35.5089,-97.1789,0.64255374
OK,Hugo,6772,2020,229045.72,273573.031,2675860.913,34.0158,-95.3206,0.24818135
OK,McClain Energy Facility,55457,2020,2019659.58,1234080.628,20765777.09,35.2979,-97.5896,1.119539435
OK,Mooreland,3008,2020,41635.58,26698.286,449061.798,36.4375,-99.2208,0.024220285
OK,Muskogee,2952,2020,2884088.8,2623045.207,31639775.15,35.7617,-95.2847,2.379587266
OK,Mustang,2953,2020,1090339.58,629325.727,10664970.87,35.4711,-97.6733,0.57091486
OK,Northeastern,2963,2020,3051828.65,2688246.005,34998029.01,36.4317,-95.7008,2.438736452
OK,Oneta Energy Center,55225,2020,6524563.57,2806134.957,47218564.5,36.0119,-95.6967,2.545683541
OK,Ponca,762,2020,13301.06,7329.908,123333.719,36.7205,-97.0868,0.006649583
OK,Redbud Power Plant,55463,2020,6064366.3,2669066.3,44912352.01,35.6853,-97.2242,2.421336911
OK,River Valley,10671,2020,,1147691.681,10984993.72,35.1931,-94.6458,1.041168678
OK,Riverside (4940),4940,2020,357977.74,265563.063,4471766.243,35.9978,-95.9567,0.240914827
OK,Seminole (2956),2956,2020,2666218.18,1677574.715,28228357.39,34.9678,-96.7242,1.521870618
OK,Sooner,6095,2020,2559115.44,2765181.454,26416800.71,36.4537,-97.0527,2.508531137
OK,Southwestern,2964,2020,497671.06,356641.376,6010680.263,35.1009,-98.3524,0.323539707
OK,Spring Creek Power Plant,55651,2020,60856.96,48867.08,822285.711,35.7422,-97.655,0.044331482
OK,Tenaska Kiamichi Generating Station,55501,2020,5352904.11,2454302.362,41298343.44,34.6831,-95.9349,2.226506288
